video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=6ZycK7f1imk&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@fox13seattle,FOX 13 Seattle,Suspects sought in U-District homicide,172,4 years,Seattle Police are asking for the your help to solve the murder of a man at the corner of 45th and University Way NE in the ...,2024-01-29 06:12:19.599758
/watch?v=5tYpaN3XlGg&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@fox13seattle,FOX 13 Seattle,1 dead in University District fire | FOX 13 Seattle,1.4K,11 months,Investigators are determining the cause of a deadly fire in Seattle's University District. Subscribe to FOX 13 Seattle: ...,2024-01-29 06:12:19.601569
/watch?v=4xH3NdxgPR0&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@SeattleChannel21,Seattle Channel,"Mayor, Fire Chief launch second Health One unit to serve University District and Ballard",268,2 years,"View the City of Seattle's commenting policy: seattle.gov/online-comment-policy Mayor Jenny A. Durkan, Seattle Fire Chief Harold ...",2024-01-29 06:12:19.603171
/watch?v=ZY2y6ljxrUc&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@wivb,WIVBTV,Shooting claims two lives in University District,63,11 years,A man and a woman were shot and killed by gunfire in the University District overnight.,2024-01-29 06:12:19.604920
/watch?v=0k2uCuyznb8&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@wcmhnbc4columbus,NBC4 Columbus,University District residents tracking crime,69,7 years,NBC 4 at 11.,2024-01-29 06:12:19.606626
/watch?v=IApDZ8Rb1go&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@WOSUColumbus,WOSU Public Media,Columbus Neighborhoods: The University District Preview,2.9K,12 years,"http://www.columbusneighborhoods.org/ Coming to WOSU in October, 2011. Town meets gown in this urban area encompassing ...",2024-01-29 06:12:19.608211
/watch?v=dO0GGoU6iPY&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@UWVideo,UW Video,"Find it, Fix it Walking Tour of the U District",675,8 years,"Come along on a “Find It, Fix It"" walk of the University District. Hosted by Seattle Mayor Ed Murray and Interim President Ana Mari ...",2024-01-29 06:12:19.609828
/watch?v=qUK-mAgjQJY&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@fox13seattle,FOX 13 Seattle,The U-District street fair happening this weekend | FOX 13 Seattle,586,1 year,The U-District street fair happening this weekend in Seattle Subscribe to FOX 13 Seattle: ...,2024-01-29 06:12:19.611618
/watch?v=PbIqw3FgX_4&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@SeattleChannel21,Seattle Channel,City Inside/Out Local Issues: Upzoning the U District,1.7K,7 years,"Seattle is booming, but where should everyone live? City leaders will vote next month on some controversial zoning changes for ...",2024-01-29 06:12:19.613145
/watch?v=CiruR0Uooww&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@wcmhnbc4columbus,NBC4 Columbus,"Three injured, two in critical condition, during University District shooting",942,1 year,"Three men were injured, two are in critical condition including one with life-threatening injuries, from an overnight shooting in the ...",2024-01-29 06:12:19.614823
/watch?v=gbngnoxVNnI&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@wkbwbuffalo,"WKBW TV | Buffalo, NY",‘It’s a horrible crime’: Targeted shooting in University District,175,4 months,'It's a horrible crime': Targeted shooting in University District.,2024-01-29 06:12:19.616572
/watch?v=aL_tnsmeavo&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@LaoOcean,Lao Ocean,Evening Stroll At University Village - Seattle’s Only Outdoor Lifestyle Shopping Center,5K,1 year,"After dinner at Shake Shack and dessert at Hello Robin at University Village, Amanda and I decide to take an evening stroll.",2024-01-29 06:12:19.618484
/watch?v=0ueqmB49jSc&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@wcmhnbc4columbus,NBC4 Columbus,Student apartment complex proposed on site of University District church,83,4 months,"Student apartment complex proposed on site of University District church Stay informed about Columbus and central Ohio news, ...",2024-01-29 06:12:19.620336
/watch?v=PrULGXHxR-4&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@WOSUColumbus,WOSU Public Media,University District: Industrialization and the Progressive Era,992,11 years,... original population in that neighborhood were Italian and African American many who worked on the building of the University ...,2024-01-29 06:12:19.621976
/watch?v=wA9cYPFh38k&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@udc_edu,University of the District of Columbia,Welcome to the CCDC @ UDC,1.7K,14 years,Welcome to the Community College of the District of Columbia.,2024-01-29 06:12:19.623744
/watch?v=8aZYYQwWdys&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@KING5Seattle,KING 5 Seattle,UW students propose 'Alternative Emergency Services' teams for U-District,1.6K,1 year,Their proposal would dispatch unarmed teams to respond to non-violent emergency situations as an alternative to calling 911.,2024-01-29 06:12:19.625329
/watch?v=N9PlpzMOr5Y&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@wcmhnbc4columbus,NBC4 Columbus,One person dead after daytime shooting in University District,607,2 years,"One person dead after daytime shooting in University District Stay informed about Columbus and central Ohio news, weather and ...",2024-01-29 06:12:19.627107
/watch?v=VFLuPQ0dTu8&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@LocalLensSeattle,Local Lens Seattle,5 must-stop shops🛍  at University Village! | Local Lens Seattle,42K,2 years,"It's no secret I love shopping   I haven't been able to shop IRL in sometime (thanks, pandemic) so I was so pumped to check out ...",2024-01-29 06:12:19.629465
/watch?v=3yATg-DVHcI&pp=ygUTdW5pdmVyc2l0eSBkaXN0cmljdA%3D%3D,/@KING5Seattle,KING 5 Seattle,Fire destroys historic Seven Gables Theatre in Seattle's University District,4.1K,3 years,The Seattle Fire Department responded to a three-alarm fire at the former Seven Gables Theatre in the University District on ...,2024-01-29 06:12:19.631116
/watch?v=LUCiGt7iXL0&pp=ygUHdXcgZm9vZA%3D%3D,/@UWHFS,UWHFS,A Dawg's Vlog // Hannah 13 | The UW Food Pantry,1K,4 years,"Hello, fellow Dawgs! Join me this week as I show you the UW Food Pantry, how to volunteer there, and how to donate! To learn ...",2024-01-29 06:12:43.120002
/watch?v=5wvbGaZcnYM&pp=ygUHdXcgZm9vZA%3D%3D,/@poorvahalbe6510,Poorva Halbe,"FRESHMAN GUIDE TO UW MADISON // dorms, food, football, diversity, clubs",42K,3 years,"Hello new badgers!! This video shares some tips I wish I had known during my freshman year, hopefully, it makes your experience ...",2024-01-29 06:12:43.122709
/watch?v=FAJi_iBhqFY&pp=ygUHdXcgZm9vZA%3D%3D,/@ParisBoswell,Paris Boswell,"Everything You NEED to Know About UW-MADISON! (dorms, food, etc)",114K,4 years,been getting so many questions all about uw since i started here so I finally got around to making this video answering (hopefully) ...,2024-01-29 06:12:43.124856
/watch?v=Gol-If3BiXg&pp=ygUHdXcgZm9vZA%3D%3D,/@UWHFS,UWHFS,A Dawg's Vlog // Hannah 3 | What I Eat In A Week,8.3K,5 years,"Hello, fellow Dawgs! This week I wanted to show you what I eat on campus at UW! To learn more about living on campus at the ...",2024-01-29 06:12:43.127629
/watch?v=gaJ60z0Fr88&pp=ygUHdXcgZm9vZA%3D%3D,/@UWHFS,UWHFS,UW HFS | Dining Overview feat. Executive Chef Tracey MacRae,1K,9 months,Make sure you like and subscribe for more content coming soon! To learn more about University of Washington's Housing & Food ...,2024-01-29 06:12:43.130204
/watch?v=2Enr83__pvU&pp=ygUHdXcgZm9vZA%3D%3D,/@kennakwok.,Kenna Kwok,ALL ABOUT UW - WHAT I WISH I KNEW BEFORE,17K,2 years,I wanted to share a video covering all aspects of the University of Washington and things I wish I knew before freshman year!,2024-01-29 06:12:43.132868
/watch?v=lZgxJ_ptOkU&pp=ygUHdXcgZm9vZA%3D%3D,/@UWHFS,UWHFS,UW HFS | Center Table Tour,4.8K,3 years,For more information on Center Table visit our website at https://hfs.uw.edu/Eat/dining-hours/Center-Table Make sure you like and ...,2024-01-29 06:12:43.135048
/watch?v=CRO1sboiEo4&pp=ygUHdXcgZm9vZA%3D%3D,/@universityofwashington,UW (University of Washington),UW Food Pantry opens Nov. 1,1.3K,5 years,"UW Food Pantry coordinator/UW grad student Christina Sun and volunteers prep for opening day, November 1st at 11:30 am.",2024-01-29 06:12:43.137198
/watch?v=efvGmyTIDpI&pp=ygUHdXcgZm9vZA%3D%3D,/@UWHFS,UWHFS,UW HFS | Dining Sustainably at the UW,1K,4 years,Make sure you like and subscribe for more content coming soon! To learn more about University of Washington's Housing & Food ...,2024-01-29 06:12:43.139851
/watch?v=xdxixksMeJg&pp=ygUHdXcgZm9vZA%3D%3D,/@uwhousing,UW-Madison Housing,#EatWithBucky in UW-Madison Housing Dining & Culinary Services,204,1 month,UW-Madison Housing Dining & Culinary Services serves the residents of the University Residence Halls as well as all ...,2024-01-29 06:12:43.142347
/watch?v=XNRlGk6jn5k&pp=ygUHdXcgZm9vZA%3D%3D,/@uwspathletics,uwspathletics,UWSP Women's Basketball vs. UW-River Falls,188,Streamed 1 day,The UWSP women's basketball team opens the second half of conference play at home versus UWRF.,2024-01-29 06:12:43.144328
/watch?v=rH9hxEKThoY&pp=ygUHdXcgZm9vZA%3D%3D,/@UWHFS,UWHFS,UW HFS | Alder Hall District Market Tour,3.8K,4 years,For more information on the District Market visit our website at bit.ly/UWDistrictMarket Make sure you like and subscribe for more ...,2024-01-29 06:12:43.147610
/watch?v=k-d9_2248Cc&pp=ygUHdXcgZm9vZA%3D%3D,/@uwnutritionalsciences,Nutritional Sciences Program,Highlights of UW Food Systems Walking Tour 2021,58,2 years,This video features highlights from a tour featured as part of the University of Washington Autumn Dawg Daze events on October 1 ...,2024-01-29 06:12:43.149621
/watch?v=eqso_FCGAFQ&pp=ygUHdXcgZm9vZA%3D%3D,/@UWHFS,UWHFS,UW HFS | Cultivate Tour,932,4 years,Make sure you like and subscribe for more content coming soon! To learn more about University of Washington's Housing & Food ...,2024-01-29 06:12:43.151567
/watch?v=76pNDtBTOLw&pp=ygUHdXcgZm9vZA%3D%3D,/@ucuww,UW-W University Center,Best of Breakfast at UW-Whitewater,1.6K,4 years,"Who's hungry for breakfast? Shauna, Jessica, Anna, & Ryan are showing you some of the best and most convenient breakfast ...",2024-01-29 06:12:43.153417
/watch?v=VrqvvxDWb40&pp=ygUHdXcgZm9vZA%3D%3D,/@UWStoutDiningService,University Dining Service,University Dining at UW-Stout,2.5K,5 years,Learn about Dining at the University of Wisconsin - Stout.,2024-01-29 06:12:43.156887
/watch?v=nTUG9qKa5ig&pp=ygUHdXcgZm9vZA%3D%3D,/@uhsmadison,University Health Services,UW Food Shed: Free Produce to Students and Staff,861,6 years,"Located in: 3rd floor student activity center, 2nd floor Moore Hall, Allen Centennial Garden, and room 15 Science Hall.",2024-01-29 06:12:43.159170
/watch?v=nip2YinHsa4&pp=ygUHdXcgZm9vZA%3D%3D,/@uwlacrossevids,University of Wisconsin-La Crosse,UWL - What's cooking at Whitney?,623,8 months,"UWL Dining Hungry? There are plenty of places to eat on the UWL campus. UWL Dining Services offers great food, that is healthy, ...",2024-01-29 06:12:55.030102
/watch?v=R-Sq-8x2gsA&pp=ygUHdXcgZm9vZA%3D%3D,/@KING5Seattle,KING 5 Seattle,UW sets up food pantry for students,70,5 years,"When volunteers saw people lined up down the street at their last even, they decided they needed a more permanent set up.",2024-01-29 06:12:55.031809
/watch?v=trWL_qCZU4c&pp=ygUHdXcgZm9vZA%3D%3D,/@BadgerHerald1969,The Badger Herald,Students criticize new changes to UW meal plan,1.5K,5 years,Students gathered in protest of a new meal plan policy that will require students to purchase a meal plan while living in residence ...,2024-01-29 06:12:55.033121
/watch?v=RCuep0PazsY&pp=ygUHdXcgZm9vZA%3D%3D,/@Channel3000,Channel 3000 / News 3 Now,Food delivery robots on UW-Madison campus busier than ever,3.2K,2 years,"For more than two years now, 35 autonomous robots have been rolling around the University of Wisconsin-Madison campus ...",2024-01-29 06:12:55.035592
/watch?v=hKQ0su09l_Y&pp=ygUHdXcgZm9vZA%3D%3D,/@iapstudyabroad,UW-Madison Study Abroad,UW Food Systems and the Environment in Northern Japan,108,5 years,Hokkaido offers diverse agro-ecosystems and is the largest agricultural production area in Japan. Located on the same latitude as ...,2024-01-29 06:12:55.036501
/watch?v=fJ8StPt3OhE&pp=ygUHdXcgZm9vZA%3D%3D,/@Channel3000,Channel 3000 / News 3 Now,UW Dining offering 'blended burger',28,4 years,UW-Madison students are testing out new blended burger flavors on campus today.,2024-01-29 06:12:55.037383
/watch?v=jW-aW0y-Vfg&pp=ygUHdXcgZm9vZA%3D%3D,/@sustainableUW,UW Sustainability,Food Systems at UW: a tri-campus event,78,2 years,"This virtual event featured faculty and staff from the University of Washington's Bothell, Seattle and Tacoma campuses discussing ...",2024-01-29 06:12:55.039596
/watch?v=cYXBAqDRrJ8&pp=ygUHdXcgZm9vZA%3D%3D,/@feedmeimei,feed meimei,What to Eat in SEATTLE! Seattle Food Tour Part 1 2022,439K,1 year,Today I am showing you What to Eat in Seattle -- Seattle Food Tour 2022! We go to many delicious Seattle restaurants and eat ...,2024-01-29 06:12:55.040604
/watch?v=-nJHIDEjN34&pp=ygUHdXcgZm9vZA%3D%3D,/@genzfinance8626,Gen Z Finance,UW Dining advice,456,3 years,Learn about UW dining accounts and what level you should sign up on for on the first year of your school.,2024-01-29 06:12:55.041506
/watch?v=M94Gq9YQgcI&pp=ygUHdXcgZm9vZA%3D%3D,/@wkbtnews8now,WKBT News 8 Now,UW-L students complain about food service switchover,2K,11 years,UW-L administrators said the switchover to Sodexo is not going as smoothly as they'd hoped.,2024-01-29 06:12:55.042422
/watch?v=qcLzS1oHZpU&pp=ygUHdXcgZm9vZA%3D%3D,/@WISN,WISN 12 News,UW-Milwaukee's Food Center Helps Students Facing 'Food Insecurity',119,5 years,"According to the Government Accountability Office, which is a non-partisan agency that works for Congress, three million students ...",2024-01-29 06:12:55.043877
/watch?v=FMgYXnJ9apw&pp=ygUHdXcgZm9vZA%3D%3D,/@feedmeimei,feed meimei,What to Eat in SEATTLE! Seattle Food Tour Part 1 2023,379K,6 months,Today I am showing you What to Eat in Seattle -- Seattle Food Tour Part 1 2023! We go to many delicious Seattle restaurants and ...,2024-01-29 06:12:55.045086
/watch?v=6DArKeKKdRA&pp=ygUHdXcgZm9vZA%3D%3D,/@tmj4,TMJ4 News,UW-Milwaukee's campus food pantry help ease student hunger,117,6 years,UW-Milwaukee is offering food to students in need. A recent survey showed that 50 percent of the students on UWMs campus ...,2024-01-29 06:12:55.046156
/watch?v=bjcPn-Tw7YI&pp=ygUHdXcgZm9vZA%3D%3D,/@WKOWTV27,WKOW 27 NEWS,Delivery Robots Hit UW-Madison,11K,4 years,Students and staff at UW-Madison are getting a taste of the future.,2024-01-29 06:12:55.047305
/watch?v=0xHp2XCYauY&pp=ygUHdXcgZm9vZA%3D%3D,/@uwhealth,UW Health,Pureed Foods 101 for Bariatric Post-Op,100K,3 years,Basic info about how to prepare post-op pureed meals.,2024-01-29 06:12:55.048287
/watch?v=RVKdmjAT5PA&pp=ygUHdXcgZm9vZA%3D%3D,/@uwnutritionalsciences,Nutritional Sciences Program,Food on Campus: UW Sustainability Plans and Initiatives,269,3 years,"University of Washington Nutritional Sciences Program presents, ""Food Systems in the Age of Climate Change,"" our winter 2020 ...",2024-01-29 06:13:07.159641
/watch?v=2pe7i4aMris&pp=ygUHdXcgZm9vZA%3D%3D,/@UWMadisonScienceExpeditions,UW-Madison Science Expeditions,UW-Madison Food Science Club: The Science of Ice Cream,155,2 years,"We will provide ingredient list, recipe and steps for creating no-churn ice cream. During a recorded video by the UW – Madison ...",2024-01-29 06:13:07.160944
/watch?v=fxz15gq3cX4&pp=ygUHdXcgZm9vZA%3D%3D,/@UWMedicineHealth,UW Medicine,Thanksgiving food safety tips | UW Medicine,104,1 year,"While your coming together for the best meals of the year, be mindful of who's helping cook, if the food should remain cold or ...",2024-01-29 06:13:07.162254
/watch?v=_Ae5HViA-lI&pp=ygUHdXcgZm9vZA%3D%3D,/@Channel3000,Channel 3000 / News 3 Now,Book On 'Food' Sparks Debate On UW Campus,31,14 years,"""In Defense of Food"" is everywhere on the University of Wisconsin-Madison campus this fall, and the best-selling book is sparking ...",2024-01-29 06:13:07.163122
/watch?v=CNCnpmla8ok&pp=ygUHdXcgZm9vZA%3D%3D,/@uwstoutvideos,University of Wisconsin-Stout,UW-Stout's Helping Hand Food Pantry,197,4 years,"UW-Stout Helping Hand Food Pantry opened on 4/9/2019 in University Services, Room 130, providing food and other items for ...",2024-01-29 06:13:07.164015
/watch?v=iCGpEfbQUiI&pp=ygUHdXcgZm9vZA%3D%3D,/@FHKing-cb2zp,F.H. King,UW-Madison Real Food Week,1.9K,10 years,"Watch in HD if ya please http://www.realfooduwmadison.com Music credit to: Shugo Tokumaru - ""Katachi"" The Real Food ...",2024-01-29 06:13:07.164898
/watch?v=kzbvMudBg50&pp=ygUHdXcgZm9vZA%3D%3D,/@UWEauClaire,University of Wisconsin-Eau Claire,The future is here:  Robots roam with purpose at UW-Eau Claire,696,1 year,"If you see a few motorized machines roving on campus, don't be alarmed. They're a new addition to the Blugold family, helping to ...",2024-01-29 06:13:07.165700
/watch?v=oNgM2llHazs&pp=ygUHdXcgZm9vZA%3D%3D,/@uw-greenbayuniversityunion5443,UW-Green Bay University Union,How to use Dining and Pass Points at UW-Green Bay,39,1 year,https://www.uwgb.edu/dining/green-bay-campus/dining-points/,2024-01-29 06:13:07.166625
/watch?v=shnC7E0OJ04&pp=ygUHdXcgZm9vZA%3D%3D,/@theuwfarm9148,The UW Farm,UW Farms & Food Recovery with Fare Start,45,3 years,Chef Seth Fernald of Fare Start demonstrates how to make a dish using UW Farm Produce.,2024-01-29 06:13:07.167876
/watch?v=iJ2Q0GO0cpY&pp=ygUHdXcgZm9vZA%3D%3D,/@wxownews1925,WXOW News 19,UW-L Staff and Students Donate to the School's Food Bank,3,4 years,UW-L Staff and Students Donate to the School's Food Bank.,2024-01-29 06:13:07.168865
/watch?v=zs53bXHJkN0&pp=ygUHdXcgZm9vZA%3D%3D,/@ParisBoswell,Paris Boswell,"FINALS WEEK AT UW-MADISON! lots of hauls, drinks, food, + friends",5.7K,2 years,my last week of junior year at university of wisconsin! sad it's over but this vlog was so fun! INSTAGRAM: @parisboswell ...,2024-01-29 06:13:07.170389
/watch?v=bUfCT2wio1U&pp=ygUHdXcgZm9vZA%3D%3D,/@UWHFS,UWHFS,UW HFS | Center Table 360° Tour,1.5K,2 years,For more information on Center Table visit our website at https://hfs.uw.edu/Eat/dining-hours/Center-Table Make sure you like and ...,2024-01-29 06:13:07.171372
/watch?v=e-ax6bwk1j0&pp=ygUHdXcgZm9vZA%3D%3D,/@goodmancommunitycenter6083,Goodman Community Center,Goodman UW Food Drive 2019 30 sec.,280,4 years,Thanks to Wisconsin Athletics and News 3.,2024-01-29 06:13:07.173037
